Material Formula,Structure Type,Disorder Type,Data Points,Assessment,Method,DOI,Notes
Ba2InTaO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=0.74, 1130)",Ordering kinetically difficult; In3+/Ta5+ Δr=0.16 Å modest,XRD Rietveld,10.1016/j.jssc.2011.01.024,Annealed 1130°C
Ba2YNbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1107/S0108768106002448,Barnes et al. 2006; Y/Nb Δr=0.26 Å
Ba2YTaO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1021/acs.jpclett.4c00205,J. Phys. Chem. Lett. 2024
Sr2ScNbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1107/S0108768106002448,Barnes et al. 2006
Ca2AlNbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1107/S0108768106002448,Barnes et al. 2006
Sr2GaTaO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1107/S0108768106002448,Barnes et al. 2006
Sr2ScSbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1016/j.jssc.2012.06.015,J. Solid State Chem. 2012
Ca2ScSbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1016/j.jssc.2012.06.015,Same paper
Sr2YNbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1107/S0108768105012395,Howard et al. 2005
Sr2YTaO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1107/S0108768105012395,Howard et al. 2005
Sr2InTaO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1007/s00269-012-0545-5,Phys. Chem. Minerals 2012
Ba2LuNbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1016/j.jssc.2006.10.035,Saines et al. 2007
Ba2LuTaO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1088/0953-8984/13/19/302,Doi & Hinatsu
Sr2LuNbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1017/S0885715618000593,Powder Diffraction 2018
Sr2GaSbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1002/advs.202104319,Jin et al. Adv. Sci. 2022
Ba2LuBiO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1021/cm0486924,Harrison et al. 2005
Sr2ScBiO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1006/jssc.2001.9375,Karunadasa et al.
Pb2MgWO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Fully ordered as-synthesized; no disordering expected at synthesis T,XRD/neutron Rietveld,10.1016/S0254-0584(01)00369-8,Mishra & Choudhary 2001
Ca2InSbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=0.89, unknown)",89% ordered (11% antisite); moderate size contrast In/Sb,XRD Rietveld,10.1016/j.solidstatesciences.2010.01.011,"Crystal structure of A2InSbO6 (A=Ca,Sr,Ba)"
Sr2InSbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=0.92, unknown)",92% ordered (8% antisite); moderate size contrast In/Sb,XRD Rietveld,10.1016/j.solidstatesciences.2010.01.011,"Crystal structure of A2InSbO6 (A=Ca,Sr,Ba)"
Ba2InSbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=0.89, unknown)",89% ordered (11% antisite); moderate size contrast In/Sb,XRD Rietveld,10.1016/j.solidstatesciences.2010.01.011,"Crystal structure of A2InSbO6 (A=Ca,Sr,Ba)"
Ba2MgWO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=1, unknown)",Fully ordered; 2+/6+ charge difference (Δq=4) drives complete ordering at all synthesis T,XRD/neutron Rietveld,10.1016/j.jssc.2011.06.015,
Ba2ZnWO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=1, unknown)",Fully ordered; 2+/6+ charge difference (Δq=4) drives complete ordering at all synthesis T,XRD/neutron Rietveld,10.1016/j.jssc.2011.06.015,
Ca2MgWO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=1, unknown)",Fully ordered; 2+/6+ charge difference (Δq=4) drives complete ordering at all synthesis T,XRD/neutron Rietveld,10.1107/S0108270103011934,
Sr2MgWO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=1, unknown)",Fully ordered; 2+/6+ charge difference (Δq=4) drives complete ordering at all synthesis T,XRD/neutron Rietveld,10.1088/0953-8984/16/37/001,
Ba2CaWO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=1, unknown)",Fully ordered; 2+/6+ charge difference (Δq=4) drives complete ordering at all synthesis T,XRD/neutron Rietveld,10.1016/j.jssc.2011.08.035,
Ba2CaMoO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=1, unknown)",Fully ordered; 2+/6+ charge difference (Δq=4) drives complete ordering at all synthesis T,XRD/neutron Rietveld,10.1016/j.jssc.2011.08.035,
Sr2ZnWO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=1, unknown)",Fully ordered; 2+/6+ charge difference (Δq=4) drives complete ordering at all synthesis T,XRD/neutron Rietveld,10.1016/j.jssc.2011.08.035,
Sr2ZnMoO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=1, unknown)",Fully ordered; 2+/6+ charge difference (Δq=4) drives complete ordering at all synthesis T,XRD/neutron Rietveld,10.1016/j.jssc.2011.08.035,
Ca2CaWO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=1, unknown)",Fully ordered; 2+/6+ charge difference (Δq=4) drives complete ordering at all synthesis T,XRD/neutron Rietveld,10.1016/j.jssc.2011.08.035,
Sr2MgTeO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=1, unknown)",Fully ordered; 2+/6+ charge difference (Δq=4) drives complete ordering at all synthesis T,XRD/neutron Rietveld,10.1021/cm100486r,
Ca2MgTeO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=1, unknown)",Fully ordered; 2+/6+ charge difference (Δq=4) drives complete ordering at all synthesis T,XRD/neutron Rietveld,10.1021/cm100486r,
Ba2CaTeO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=1, unknown)",Fully ordered; 2+/6+ charge difference (Δq=4) drives complete ordering at all synthesis T,XRD/neutron Rietveld,10.1016/j.jssc.2008.06.024,
Sr2CaWO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=1, unknown)",Fully ordered; 2+/6+ charge difference (Δq=4) drives complete ordering at all synthesis T,XRD/neutron Rietveld,10.1088/0953-8984/16/37/001,
Pb2CaTeO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=1, unknown)",Fully ordered; 2+/6+ charge difference (Δq=4) drives complete ordering at all synthesis T,XRD/neutron Rietveld,10.1016/j.jssc.2019.04.015,
Sr2ZnTeO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=1, unknown)",Fully ordered; 2+/6+ charge difference (Δq=4) drives complete ordering at all synthesis T,XRD/neutron Rietveld,10.1002/jrs.2494,
Sr2CaTeO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=1, unknown)",Fully ordered; 2+/6+ charge difference (Δq=4) drives complete ordering at all synthesis T,XRD/neutron Rietveld,10.1007/s10832-021-00237-8,
Sr2MgMoO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S~1, unknown)",Nearly perfect ordering as-synthesized; disorder increases only upon reduction (Mo6+→Mo5+),XRD + neutron Rietveld,10.1021/cm0624116,Bernuy-Lopez et al. Chem. Mater. 2007
La2MgTiO6,Double Perovskite,"B'/B'' antisite fraction x (0=ordered, 0.5=random)","(x=0.02, unknown)",~4% antisite; highly ordered; disordered variant (Pbnm) forms with >10% SrTiO3 substitution,XRD Rietveld,10.1016/j.mseb.2005.02.024,Davies group
La2ZnTiO6,Double Perovskite,"B'/B'' antisite fraction x (0=ordered, 0.5=random)","(x=0.05, unknown)",~10% antisite; NPD essential to distinguish Zn/Ti,Neutron Rietveld,10.1016/j.solidstatesciences.2010.10.006,Alonso group (CSIC Madrid)
La2MgGeO6,Double Perovskite,"B'/B'' antisite fraction x (0=ordered, 0.5=random)","(x~0.00, unknown)",Ordered; R-3 space group; Mg/Ge ordered by large size+charge difference,XRD + neutron Rietveld,10.1039/b205274c,"Woodward, Chem. Commun. 2002"
Sr2AlSbO6,Double Perovskite,"B-site order parameter S (1=ordered, 0=random)","(S=partially ordered to fully ordered, unknown)",Synthesis-dependent; Sb5+ drives ordering; antiphase domain broadening in suboptimal synthesis,XRD Rietveld + Raman,10.1016/j.jssc.2008.01.030,J. Solid State Chem. 2008
Y3Al2Ga3O12,Garnet,Ga oct/tet site distribution,"(72% Ga on tet / 28% Ga on oct, unknown)",Ga strongly prefers tet due to covalent Ga-O bonding; Al enriched on oct; not a simple antisite picture,"Single-crystal NMR (71Ga, 27Al)",10.1021/acs.jpcc.6b08593,Laguta et al. J. Phys. Chem. C 2016
Lu3Al2Ga3O12,Garnet,Ga oct/tet site distribution,Similar Ga tet preference as YAGG; composition-dependent,Ga prefers tet across all compositions,"MAS NMR (27Al, 71Ga)",10.1016/j.jpcs.2018.10.027,Zagorodniy/Laguta et al. J. Phys. Chem. Solids 2019
Y3Sc2Al3O12,Garnet,Sc oct/dodecahedral distribution,"(up to 17% Sc on dodecahedral A-site, unknown)",Sc distributes between oct and dodecahedral (not tet); solubility limit ~97.5% on oct,XRD Rietveld,10.1111/jace.16294,Tarala et al. J. Am. Ceram. Soc. 2019
